TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2024-04-03,3395.59,0.0072079233765116,4.2024,16.0,7.84,4.0
2024-04-04,3407.57,0.0035281055722276,4.2024,16.0,7.84,4.0
2024-04-05,3395.37,-0.0035802639417532,4.2024,16.0,7.84,4.0
2024-04-08,3417.38,0.0064823568565428,4.2024,16.0,7.84,4.0
2024-04-09,3414.26,-0.0009129801192726,4.2024,16.0,7.84,4.0
2024-04-10,3439.11,0.0072782974934539,4.2024,16.0,7.84,4.0
2024-04-11,3439.53,0.0001221246194509,4.2024,16.0,7.84,4.0
2024-04-12,3456.24,0.0048582219082256,4.2024,16.0,7.84,4.0
2024-04-15,3472.19,0.0046148415619287,4.2024,16.0,7.84,4.0
2024-04-16,3462.94,-0.0026640247221494,4.2024,16.0,7.84,4.0
2024-04-17,3454.07,-0.0025614073590648,4.2024,16.0,7.84,4.0
2024-04-18,3455.82,0.0005066486782259,4.2024,16.0,7.84,4.0
2024-04-19,3470.88,0.0043578658610692,4.2024,16.0,7.84,4.0
2024-04-22,3479.17,0.002388443276633,4.2024,16.0,7.84,4.0
2024-04-23,3439.42,-0.0114251387543581,4.2024,16.0,7.84,4.0
2024-04-24,3428.93,-0.0030499328375134,4.2024,16.0,7.84,4.0
2024-04-25,3439.76,0.0031584196819416,4.2024,16.0,7.84,4.0
2024-04-26,3449.77,0.0029100867502382,4.2024,16.0,7.84,4.0
2024-04-27,3465.85,0.0046611803105713,4.2024,16.0,7.84,4.0
2024-04-29,3478.08,0.0035287158994186,4.2024,16.0,7.84,4.0
2024-04-30,3469.83,-0.0023719983439138,4.2024,16.0,7.84,4.0
2024-05-02,3442.83,-0.0077813610465066,5.2024,16.0,8.3,4.0
2024-05-03,3441.77,-0.0003078862447463,5.2024,16.0,8.3,4.0
2024-05-06,3436.05,-0.001661935573847,5.2024,16.0,8.3,4.0
2024-05-07,3427.61,-0.0024563088430028,5.2024,16.0,8.3,4.0
2024-05-08,3432.54,0.0014383199955654,5.2024,16.0,8.3,4.0
2024-05-10,3449.78,0.0050225197667035,5.2024,16.0,8.3,4.0
2024-05-13,3457.11,0.0021247731739415,5.2024,16.0,8.3,4.0
2024-05-14,3463.93,0.0019727460219662,5.2024,16.0,8.3,4.0
2024-05-15,3470.72,0.0019602012742752,5.2024,16.0,8.3,4.0
2024-05-16,3486.26,0.0044774571270516,5.2024,16.0,8.3,4.0
2024-05-17,3501.89,0.0044833144974842,5.2024,16.0,8.3,4.0
2024-05-20,3468.09,-0.0096519308145029,5.2024,16.0,8.3,4.0
2024-05-21,3428.38,-0.0114501065427944,5.2024,16.0,8.3,4.0
2024-05-22,3444.64,0.004742764804368,5.2024,16.0,8.3,4.0
2024-05-23,3442.79,-0.0005370662826884,5.2024,16.0,8.3,4.0
2024-05-24,3396.5,-0.0134454904307261,5.2024,16.0,8.3,4.0
